,phrase,label,sentiment,subjectivity,language,count
Shanelle Kaul,Shanelle Kaul,PERSON,0.5263157894736842,0.7368421052631579,en,1.9
Todd River,Todd River,PERSON,-0.120718462823726,0.45781119465329995,en,1.9
Jusuf Kalla,Jusuf Kalla,PERSON,-0.07017543859649122,0.3157894736842105,en,1.9
Storm Kristin,Storm Kristin,PERSON,0.16771929824561405,0.4673684210526316,en,1.9
Lara Trump,Lara Trump,PERSON,-0.040204678362573104,0.7923976608187134,en,1.9
Max Furse-Kee,Max Furse-Kee,PERSON,0.5263157894736842,0.631578947368421,en,1.9
Dennis Butt,Dennis Butt,PERSON,0.0,0.0,en,1.9
Prasetyo Hadi,Prasetyo Hadi,PERSON,-0.3508771929824561,0.7017543859649122,en,1.9
Rawa Buaya,Rawa Buaya,PERSON,0.0,0.0,en,1.9
Lior Sudri,Lior Sudri,PERSON,0.32894736842105265,0.7236842105263158,en,1.9
Hanif Faisol Nurofiq,Hanif Faisol Nurofiq,PERSON,0.0,0.0,en,1.9
Anwar Ibrahim,Anwar Ibrahim,PERSON,0.18421052631578946,0.2894736842105263,en,1.9
Annapurani Alayam,Annapurani Alayam,PERSON,0.28289473684210525,0.46710526315789475,en,1.9
Carlos Mazón,Carlos Mazón,PERSON,0.14035087719298245,0.2631578947368421,en,1.9
Abrar Shabren,Abrar Shabren,PERSON,-0.631578947368421,0.7368421052631579,en,1.9
Storm Babet,Storm Babet,PERSON,-0.3848684210526316,0.43092105263157904,en,1.9
Shah Alam,Shah Alam,PERSON,0.23581681476418317,0.7000835421888053,en,1.9
Tokunbo Wahab,Tokunbo Wahab,PERSON,0.21052631578947367,0.6842105263157895,en,1.9
Kilmar Abrego Garcia,Kilmar Abrego Garcia,PERSON,-0.03508771929824561,0.11403508771929825,en,1.9
Lubuk Basung,Lubuk Basung,PERSON,-0.02631578947368422,0.2894736842105263,en,1.9
Kati Thanda-Lake Eyre,Kati Thanda-Lake Eyre,PERSON,0.06359649122807019,0.6454678362573099,en,1.9
Wayan Koster,Wayan Koster,PERSON,0.0,0.0,en,1.9
Datuk Seri Saarani Mohamad,Datuk Seri Saarani Mohamad,PERSON,0.1074561403508772,0.39985380116959063,en,1.9
Jo Hersey,Jo Hersey,PERSON,0.0,0.07017543859649122,en,1.9
Kampung Tangkarason,Kampung Tangkarason,PERSON,-0.2609649122807018,0.41776315789473684,en,1.9
JOHN SEEWER,JOHN SEEWER,PERSON,0.07631578947368421,0.45,en,1.9
Ginger Zee,Ginger Zee,PERSON,-0.4298245614035088,0.7500000000000001,en,1.9
Benjamin Netanyahu,Benjamin Netanyahu,PERSON,0.1842105263157895,0.6374269005847953,en,1.9
Mentri Besar Datuk Seri Saarani Mohamad,Mentri Besar Datuk Seri Saarani Mohamad,PERSON,0.1074561403508772,0.39985380116959063,en,1.9
Kruger National Park,Kruger National Park,PERSON,0.07456140350877193,0.8596491228070176,en,1.9
Paul Moore,Paul Moore,PERSON,0.19736842105263158,0.7894736842105263,en,1.9
Cyclone Koji,Cyclone Koji,PERSON,-0.14035087719298245,0.6666666666666666,en,1.9
Agus Gumiwang Kartasasmita,Agus Gumiwang Kartasasmita,PERSON,0.4736842105263158,0.7894736842105263,en,1.9
David Richardson,David Richardson,PERSON,0.07543859649122807,0.4052631578947369,en,1.9
Effendi Basyaruddin,Effendi Basyaruddin,PERSON,-0.06315789473684212,0.4736842105263158,en,1.9
Cyclone Ditwa,Cyclone Ditwa,PERSON,0.0,0.0,en,1.9
Sri Yuni Pardede,Sri Yuni Pardede,PERSON,-0.10526315789473685,0.2631578947368421,en,1.9
Dusun Nanding,Dusun Nanding,PERSON,0.13450292397660818,0.24269005847953218,en,1.9
Abdul Jalil,Abdul Jalil,PERSON,0.13450292397660818,0.24269005847953218,en,1.9
BINSAR BAKKARA,BINSAR BAKKARA,PERSON,0.2631578947368421,0.2982456140350877,en,1.9
Noah Cyrus,Noah Cyrus,PERSON,-0.3092105263157895,0.4736842105263158,en,1.9
Abdul Ghani,Abdul Ghani,PERSON,-0.2105263157894737,0.052631578947368425,en,1.9
Akhmad Munir,Akhmad Munir,PERSON,0.0,0.0,en,1.9
Giancarlo RinaldiSouth Scotland,Giancarlo RinaldiSouth Scotland,PERSON,0.13157894736842105,0.19230769230769232,en,1.9
Mike Baker,Mike Baker,PERSON,0.14354066985645933,0.4784688995215311,en,1.9
Danny Hakim,Danny Hakim,PERSON,0.14354066985645933,0.4784688995215311,en,1.9
Blacki Migliozzi,Blacki Migliozzi,PERSON,0.14354066985645933,0.4784688995215311,en,1.9
CLAIRE RUSH,CLAIRE RUSH,PERSON,0.0,0.0,en,1.9
Eliyahu Aba Shaul,Eliyahu Aba Shaul,PERSON,-0.12280701754385966,0.14619883040935674,en,1.9
Van Giesen,Van Giesen,PERSON,-0.052631578947368425,0.052631578947368425,en,1.9
Jade Hindman,Jade Hindman,PERSON,-0.13157894736842105,0.5,en,1.9
Tenaga Nasional Berhad,Tenaga Nasional Berhad,PERSON,-0.0017056530214425087,0.19176413255360628,en,1.9
David Eby,David Eby,PERSON,-0.456140350877193,0.42105263157894735,en,1.9
Patrick Hotze,Patrick Hotze,PERSON,0.10526315789473684,0.17543859649122806,en,1.9
